fornecedor,total,porte,quantidade,percentual
52006170000187,5,Não se aplica,0,0.0
52006170000187,5,Não informado,0,0.0
52974175000101,1,MEI,0,0.0
52974175000101,1,ME,0,0.0
52974175000101,1,EPP,0,0.0
52974175000101,1,Demais Empresas,0,0.0
52974175000101,1,Não se aplica,0,0.0
52974175000101,1,Não informado,1,100.0
53029926000176,1,MEI,0,0.0
53029926000176,1,ME,1,100.0
53029926000176,1,EPP,0,0.0
53029926000176,1,Demais Empresas,0,0.0
53029926000176,1,Não se aplica,0,0.0
53029926000176,1,Não informado,0,0.0
61100244000130,1,MEI,0,0.0
61100244000130,1,ME,0,0.0
61100244000130,1,EPP,0,0.0
61100244000130,1,Demais Empresas,1,100.0
61100244000130,1,Não se aplica,0,0.0
61100244000130,1,Não informado,0,0.0
63560007000188,1,MEI,0,0.0
63560007000188,1,ME,1,100.0
63560007000188,1,EPP,0,0.0
63560007000188,1,Demais Empresas,0,0.0
63560007000188,1,Não se aplica,0,0.0
63560007000188,1,Não informado,0,0.0
72403157000179,1,MEI,0,0.0
72403157000179,1,ME,0,0.0
72403157000179,1,EPP,0,0.0
72403157000179,1,Demais Empresas,1,100.0
72403157000179,1,Não se aplica,0,0.0
72403157000179,1,Não informado,0,0.0
73856593000166,1,MEI,0,0.0
73856593000166,1,ME,0,0.0
73856593000166,1,EPP,0,0.0
73856593000166,1,Demais Empresas,1,100.0
73856593000166,1,Não se aplica,0,0.0
73856593000166,1,Não informado,0,0.0
91893933334,1,MEI,0,0.0
91893933334,1,ME,0,0.0
91893933334,1,EPP,0,0.0
91893933334,1,Demais Empresas,1,100.0
91893933334,1,Não se aplica,0,0.0
91893933334,1,Não informado,0,0.0
